qid,label,description
Q34599029,miRNA-130b is required for the ERK/FOXM1 pathway activation-mediated protective effects of isosorbide dinitrate against mesenchymal stem cell senescence induced by high glucose,
Q71769905,Use of isosorbide dinitrate saliva concentrations for biopharmaceutical investigations,
Q74611957,In vivo three-dimensional EPR imaging of nitric oxide production from isosorbide dinitrate in mice,
Q50900466,"Comparative vasorelaxing profiles of nicorandil, isosorbide dinitrate and nitroglycerin in isolated coronary arteries of the dog.",
Q54437574,Effects of propranolol and isosorbide dinitrate on exercise performance and adrenergic acitivity in patients with angina pectoris.,
Q72023759,[Pharmacokinetics of isosorbide dinitrate studied by the extrapolation model],
Q68926242,[Long term therapy of coronary heart disease with 120 mg slow release isosorbide dinitrate once a day. Study of duration of action and development of tolerance],
Q71079410,[Relation of in vitro release of the isosorbide dinitrate to blood pressure changes after administration to anesthetized cats],
Q37629474,A Double-Blind Randomized Trial Comparing the Effectiveness and Safety of Nifedipine and Isosorbide Dinitrate in Chronic Anal Fissure.,
Q83896017,"The efficiency of various doses of topical isosorbide dinitrate in the treatment of chronic anal fissure and the long-term results: a prospective, randomized and controlled clinical trial",
Q43553420,Effects of isosorbide dinitrate on exercise capacity in cardiac patients--relationship between oxygen uptake responses and hemodynamic effects.,
Q38380558,"Isosorbide Dinitrate, With or Without Hydralazine, Does Not Reduce Wave Reflections, Left Ventricular Hypertrophy, or Myocardial Fibrosis in Patients With Heart Failure With Preserved Ejection Fraction.",
Q68036224,Differences in the antiischaemic effects of molsidomine and isosorbide dinitrate (ISDN) during acute and short-term administration in stable angina pectoris,
Q54489622,The acute effects of low flow oxygen and isosorbide dinitrate on left and right ventricular ejection fractions in chronic obstructive pulmonary disease.,
Q43738796,Continuous long-term dosing with oral slow-release isosorbide dinitrate does not reduce incidence of cardiac events in patients with healed myocardial infarction.,
Q71847261,[Effects of isosorbide dinitrate on platelet aggregation and production of thromboxane B2],
Q45288885,Isosorbide dinitrate plus hydralazine was effective for advanced heart failure in black patients.,
Q73073541,High-dose isosorbide dinitrate for myocardial revascularization with composite arterial grafts,
Q36685793,BiDil (isosorbide dinitrate and hydralazine): a new fixed-dose combination of two older medications for the treatment of heart failure in black patients.,
Q51790927,The acute effects of intravenous isosorbide dinitrate during cardiac surgery.,
Q70521336,Identification of the urinary metabolites of isosorbide dinitrate in dogs,
Q71789535,"Comparison of the antianginal effectiveness of nifedipine, verapamil, and isosorbide dinitrate in patients receiving propranolol: a double-blind study",
Q72547472,Bioavailability and pharmacokinetics of a new isosorbide dinitrate spray preparation in healthy volunteers,
Q72774528,Controlled-release isosorbide dinitrate pellets. Part II: In vivo studies,
Q70336058,[Dose-effect relationship of isosorbide dinitrate in the treatment of angina pectoris (author's transl)],
Q88438165,"Efficacy and safety of the combination of isosorbide dinitrate spray and chitosan gel for the treatment of diabetic foot ulcers: A double-blind, randomized, clinical trial",
Q77124135,Endoscopic papillary dilation by balloon and isosorbide dinitrate drip infusion for removing bile duct stone,
Q54421642,Isosorbide dinitrate and pulsatile arterial haemodynamic variables in hypertension.,
Q70617255,[Hemodynamic effects of intravenous isosorbide dinitrate in acute myocardial infarct],
Q70509646,"Comparison of the effects of molsidomine, nitroglycerin and isosorbide dinitrate on experimentally induced coronary artery thrombosis in the dog",
Q45798973,[Haemodynamic effects of intravenous isosorbide dinitrate in congestive heart failure],
Q44177973,Systemic and regional hemodynamic effects of isosorbide dinitrate in patients with liver cirrhosis and portal hypertension.,
Q70174499,Transient pulsus alternans induced by isosorbide dinitrate: echocardiographic and hemodynamic evidence of reduced venous return--a case report,
Q67496535,[Hemodynamic and isotope study of the effects of sublingual and oral administration of isosorbide dinitrate in cardiac insufficiency],
Q83964130,Effect of chronic anal fissure components on isosorbide dinitrate treatment,
Q69968225,[Comparison of the hypotensive effects of nitroglycerin (Nitrox-Spray) and isosorbide dinitrate (IsoMack-Spray) in rats],
Q70023999,Alterations in myocardial perfusion during exercise after isosorbide dinitrate infusion in patients with coronary disease: assessment by thallium-201 scintigraphy,
Q44190639,Altered hemodynamic response to isosorbide dinitrate in essential hypertension.,
Q68087541,[The effects of isosorbide dinitrate spray on the coronary artery and its modification by the preceding chronic oral therapy with long acting isosorbide dinitrate],
Q39394307,[Favorable results of conservative treatment with isosorbide dinitrate in 25 patients with fourth-degree hemorrhoids: a pilot study],
Q71320795,[Patient compliance with a free and fixed combination of isosorbide dinitrate and bupranolol],
Q69941081,[Possibility of developing tolerance to the anti-anginal effect of isosorbide dinitrate and verapamil],
Q70665806,Relationship between the pharmacodynamics and pharmacokinetics of two oral sustained-release formulations of isosorbide dinitrate in normal man,
Q68142369,Antiischemic effects of a newly developed capsule containing 120 mg isosorbide dinitrate in sustained release form,
Q69890744,The effect of isosorbide dinitrate and isosorbide-5-mononitrate on prostacyclin (PGI2) and thromboxane A2 (TXA2) generation in rat and human arteries,
Q93569410,Bioequivalence of a sustained-release isosorbide dinitrate formulation at steady-state,
Q33604336,Coronary MR imaging: effect of timing and dose of isosorbide dinitrate administration,
Q71035934,Polarcardiographic (triaxicardiometric) study on the effect of isosorbide dinitrate on exercise-induced myocardial ischemia,
Q44908781,[Solid phase extraction for GC detection analysis of isosorbide dinitrate and glycerol nitrate in human plasma],
Q71373719,"[Prazosin in exercise-induced angina pectoris. An open study of work capacity after a single dose of prazosin, isosorbide dinitrate, atenolol and nifedipine]",
Q70461126,Loss of glyceryl trinitrate and of isosorbide dinitrate during infusion: a literature survey and practical recommendations,
Q72523297,Potentiation of isosorbide dinitrate effects with N-acetylcysteine in patients with chronic heart failure,
Q54537927,[The effect of isosorbide dinitrate on the pulmonary arterial system in patients with pulmonary hypertension (author's transl)],
Q45763767,Plasma disposition and hemodynamic effects of a single oral dose of isosorbide dinitrate in human males and females.,
Q41032208,Effects of isosorbide dinitrate on pulmonary hypertension in chronic obstructive pulmonary disease.,
Q72875357,Doppler diastolic transmitral flow patterns in severe heart failure: response to controlled changes in filling pressure using intravenous isosorbide dinitrate,
Q70436344,"[Effects of isosorbide dinitrate on systemic haemodynamics, regional coronary blood flow and ST-segment. A study on normal and/or ischaemic dog heart (author's transl)]",
Q77757592,Indomethacin increases the effect of isosorbide dinitrate on cerebral hemodynamic in migraine patients: pathogenetic and therapeutic implications,
Q28340355,Isosorbide dinitrate in coronary heart disease. Effects of a delayed-action preparation during acute load and in chronic use,
Q53696441,Regional differences in the actions of verapamil and isosorbide dinitrate on rabbit and dog vascular smooth muscle.,
Q28317792,Usefulness of intracoronary isosorbide dinitrate in alleviating myocardial ischaemia during coronary balloon angioplasty,
Q71340524,Sustained hemodynamic and antianginal effects of high dose oral isosorbide dinitrate,
Q57610326,Sublingual isosorbide dinitrate for the detection of obstruction in hypertrophic cardiomyopathy,
Q70176690,Controlled release isosorbide-5-mononitrate in angina pectoris: a comparison with standard formulation isosorbide dinitrate,
Q76487244,"[Experience in the use of isosorbide dinitrate (Carvanil), a drug for the treatment of angina pectoris.]",
Q54198723,Hemodynamic effects of combined treatment with somatostatin analogue (SMS 201-995) and low-dose isosorbide dinitrate on portal hypertension in conscious cirrhotic rats.,
Q43635375,The influence of isosorbide dinitrate and molsidomine on migration of polymorphonuclear neutrophils in vivo.,
Q39554194,Regional myocardial dysfunction in patients with angina at rest and response to isosorbide dinitrate assessed by phase analysis of radionuclide ventriculograms.,
Q95413649,"Aminophylline 3%, Co-dergocrine Mesylate 0.05%, and Isosorbide Dinitrate 0.25% Cream for the Treatment of Orgasmic Dysfunction in Women",
Q73975050,[The possibility of the development of isosorbide dinitrate and nifedipine withdrawal syndromes in patients with stable stenocardia of effort],
Q58468704,Randomized double-blind comparison of isosorbide dinitrate and nifedipine in variant angina pectoris,
Q45794187,Effect of isosorbide dinitrate and atropine on the lower esophageal sphincter pressure in Chagasic patients.,
Q41822639,Comparison of the immediate and long-term effects of captopril and isosorbide dinitrate as adjunctive treatment in mild heart failure.,
Q54505383,"Isosorbide dinitrate bioavailability, kinetics, and metabolism.",
Q58845112,[Effect of isosorbide dinitrate on esophageal emptying of chagasic megaesophagus: a therapeutic proposal?],
Q46664845,Intracoronary administration of isosorbide dinitrate induced severely slow flow and transient ST-segment elevation.,
Q93649192,Double-blind crossover comparison of the antianginal effects of nifedipine and isosorbide dinitrate in patients with exertional angina receiving propranolol,
Q44392274,Letter: Effectiveness of isosorbide dinitrate and nitroglycerin in relieving angina pectoris.,
Q70436356,[Value of isosorbide dinitrate injection in the acute phase of myocardial infarction. Clinical and haemodynamic study (author's transl)],
Q70436353,[Isosorbide dinitrate in the treatment of threatening myocardial infarction (author's transl)],
Q72646307,"Combined captopril and isosorbide dinitrate during healing after myocardial infarction. Effect on ventricular remodeling, function, mass and collagen",
Q46817948,Intracervical application of the nitric oxide donor isosorbide dinitrate for induction of cervical ripening: a randomised controlled trial to determine clinical efficacy and safety prior to first trimester surgical evacuation of retained products of,
Q72096458,Sublingual isosorbide dinitrate to improve technetium-99m-teboroxime perfusion defect reversibility,
Q71358848,[Fendiline and isosorbide dinitrate in coronary heart disease (author's transl)],
Q68450795,Effect of sublingual isosorbide dinitrate on wedged hepatic venous pressure in cirrhotics with portal hypertension,
Q33165199,Head-up tilt table testing with sublingual isosorbide dinitrate in the diagnosis of vasovagal syncope in children,
Q69477725,[Continuous infusion of isosorbide dinitrate in intractable rest angina pectoris: report of a case],
Q36689196,Nitrovasodilators ITF 296 and isosorbide dinitrate exert antiischemic activity by dilating coronary penetrating arteries.,
Q70807876,Unmasking of an anomalous conduction pathway following isosorbide dinitrate,
Q44403182,Perioperative sublingual isosorbide dinitrate for the prevention of cardiac complications in cardiac patients undergoing noncardiac surgery.,
Q69258574,Nitroglycerin and isosorbide dinitrate stimulation of glutathione disulfide efflux from perfused rat liver,
Q44260013,Efficacy of a single dose of slow-release isosorbide dinitrate in the treatment of silent or painful myocardial ischemia in stable angina pectoris.,
Q80144533,"Effect of isosorbide dinitrate on gastric blood flow in rats with liver cirrhosis determined by analyzing gastric blood flow, portal vein pressure and blood gas",
Q54465572,[Effect of isosorbide dinitrate (isoket) on central hemodynamics and myocardial contraction in patients with ischemic heart disease].,
Q44398093,Effect of isosorbide dinitrate ointment on anal fissure.,
Q70651735,Isosorbide dinitrate disposition in the rat: metabolite pharmacokinetics and interactions,
Q55546847,"Comparison of vaginal misoprostol, laminaria, and isosorbide dinitrate on cervical preparation and labor duration of term parturient: a randomized double-blind clinical trial.",
Q35846163,Meta-Analysis of Randomized Controlled Trials on the Efficacy of Di'ao Xinxuekang Capsule and Isosorbide Dinitrate in Treating Angina Pectoris.,
Q72346338,Solid-phase extraction of isosorbide dinitrate and two of its metabolites from plasma for gas chromatographic analysis,
Q68356642,[The effect of a single administration of isosorbide dinitrate (Isoket ampules) in heart failure],
Q46973153,Cost comparison analysis: pentaerythrithyl tetranitrate (PETN) and isosorbide dinitrate (ISDN) prescribed to diabetic patients in primary care practices in Germany.,
Q44021386,Effects of vehicles and pressure sensitive adhesives on the penetration of isosorbide dinitrate across the hairless mouse skin.,
Q68872729,[Determination of isosorbide dinitrate in human plasma after the administration of a newly-developed Czechoslovak preparation],
Q34088350,Is tongxinluo more effective than isosorbide dinitrate in treating angina pectoris? A systematic review and meta-analysis of randomized controlled trials,
Q54487931,[Effects of intravenous infusion of isosorbide dinitrate (ISDN) on acute experimental congestive heart failure].,
Q44844938,[The use of isosorbide dinitrate during open heart surgery].,
Q53678634,Plasma concentrations of isosorbide dinitrate after administration of increasing doses of a sustained-release formulation to human subjects.,
Q44788903,[Effect of isosorbide dinitrate on pulmonary artery pressure],
Q69777505,[Comparison of isosorbide dinitrate and nifedipine in the treatment of variant angina pectoris. Randomized study],
Q70976531,Absorption of isosorbide dinitrate by PVC infusion bags and administration sets,
Q67885472,[Isosorbide dinitrate in the treatment of coronary insufficiency],
Q54540192,Hydralazine and isosorbide dinitrate: comparative central and regional hemodynamic effects when administered alone or in combination.,
Q86955894,Preparation and characterization of niosomal gel for iontophoresis mediated transdermal delivery of isosorbide dinitrate,
Q71179532,Antiplatelet effects of isosorbide dinitrate in man,
Q44738772,Circadian investigation of interval therapy with isosorbide dinitrate in coronary heart disease.,
Q70489409,Effects of long-term molsidomine treatment versus isosorbide dinitrate and placebo on exercise tolerance in stable angina,
Q69015986,Determination of isosorbide dinitrate biotransformation in various tissues of the rabbit by capillary column gas-liquid chromatography,
Q93831979,Angina prophylaxis by chewable isosorbide dinitrate,
Q44560146,"Use of isosorbide dinitrate for the symptomatic treatment of patients with Chagas' disease achalasia. A double-blind, crossover trial.",
Q43797045,Coronary artery distensibility in Kawasaki disease--evaluation by intracoronary infusion of isosorbide dinitrate in long-term follow-up.,
Q43875815,[Isosorbide dinitrate tolerance in the treatment of patients with angina pectoris and the effect of addition of captopril on therapeutic results],
Q72142499,[Pulmonary artery pressure measurement for assessment of bioavailability of isosorbide dinitrate and pentaerythritol tetranitrate (author's transl)],
Q71179489,Chronic treatment and tolerance with high doses of isosorbide dinitrate in a slow release form in patients with angina pectoris,
Q31119488,Potentiation of radiation-induced regrowth delay by isosorbide dinitrate in FSaII murine tumors,
Q69579577,[The potential toxic action of the excipient of delayed-release isosorbide dinitrate],
Q42792299,Isosorbide dinitrate and isoxsuprine in exercise induced asthma.,
Q70803147,"[Nitrite and methemoglobin formation in dogs following oral isosorbide dinitrate, isosorbide-2-mononitrate and isosorbide-5-mononitrate]",
Q69357932,Effect of sustained action isosorbide dinitrate on exercise performance in patients with ischemic heart disease,
Q93657588,[Pharmacology of isosorbide dinitrate after transdermal application],
Q67783861,"[Comparison of the clinical and hemodynamic effects of nitroglycerin, isosorbide dinitrate and isosorbide-5-mononitrate in acute myocardial infarction]",
Q67439798,Polarographic determination of isosorbide dinitrate,
Q69723786,Determination of isosorbide dinitrate and its metabolites in plasma by gas chromatography on a capillary column with electron-capture detection,
Q70487630,Transdermal isosorbide dinitrate in angina pectoris: effect of acute and sustained therapy,
Q68864948,"Randomized placebo-controlled comparative study of nifedipine, verapamil and isosorbide dinitrate in the treatment of angina at rest",
Q70170426,"A comparison of the effects of isosorbide dinitrate on isolated rabbit aorta and vena cava: role of guanosine 3',5'-cyclic monophosphate in vascular smooth muscle relaxation",
Q54390456,Cooling down unstable angina with high dosage of isosorbide dinitrate (ISDN) continuously infused.,
Q68051671,[Non-invasive methods in the study of the elastic properties of the thoracic aorta. Effect of isosorbide dinitrate],
Q69452837,Effect of peroral administration of isosorbide dinitrate on portal pressure and blood flow in patients with cirrhosis of the liver,
Q37830861,Is danshen (Salvia miltiorrhiza) dripping pill more effective than isosorbide dinitrate in treating angina pectoris? A systematic review of randomized controlled trials.,
Q42197099,Blood volume and right heart haemodynamics in abrupt hypotension following sublingual isosorbide dinitrate in acute myocardial infarction.,
Q72368853,Release of isosorbide dinitrate from polymer film dosage forms and absorption of this drug through the oral mucosa of rats,
Q35886384,Attenuation by isosorbide dinitrate of coronary occlusion-induced acidosis in the dog myocardium.,
Q71762141,Treatment of portal hypertension with isosorbide dinitrate alone and in combination with vasopressin,
Q45337786,Effects of isosorbide dinitrate on the pattern of arterial blood flow in healthy human subjects.,
Q68749904,Effect of sublingual isosorbide dinitrate in portal hypertension,
Q69574741,[Effect of isosorbide dinitrate on neutrophil migration in vivo],
Q41031167,[Isosorbide dinitrate and bupranolol in the therapy of coronary heart disease (author's transl)],
Q42540660,Withdrawal effects of antianginal therapy: comparison of isosorbide dinitrate and nifedipine.,
Q72198338,Double blind controlled clinical trial of a long acting coronary vasodilator isosorbide dinitrate (sorbitrate),
Q51651288,Pulmonary vascular effects of trinitroglycerin and isosorbide dinitrate after cardiopulmonary bypass.,
Q69703748,The development and reversal of tolerance to antianginal effect of isosorbide dinitrate in patients with effort angina,
Q71436212,[Controlled clinical test of the antianginal action of the association of isosorbide dinitrate and prenylamine theophyllineacetate],
Q40096698,Isosorbide dinitrate in clinical practice.,
Q54310109,"Long-term effect of isosorbide dinitrate and nifedipine, singly and in association, in patients with chronic heart failure.",
Q72014827,Propranolol and isosorbide dinitrate synergism in angina pectoris,
Q67236700,A ten-year reevaluation. Nitroglycerin and isosorbide dinitrate in coronary insufficiency,
Q67714901,Gas-liquid chromatographic determination of isosorbide dinitrate in tablets,
Q42906086,Effects of isosorbide dinitrate on the urinary flow rate in patients with benign prostatic hyperplasia.,
Q67777796,[Tolerance to a sustained release form of isosorbide dinitrate: comparison between 20 mg four times and 40 mg twice-daily administrations],
Q68309385,[The effect of peroral administration of isosorbide dinitrate on portal pressure and flow in patients with liver cirrhosis],
Q44912932,"[Combination therapy with isosorbide dinitrate and verapamil in patients with coronary heart disease and hypertension: effect on blood pressure, ischemia and left ventricular function]",
Q34450406,Kinetics of isosorbide dinitrate and relationships to pharmacological effects,
Q69951159,[Anti-angina effectiveness of isosorbide dinitrate in an acute trial and following continuous 4-week therapy with 40 mg 6 times a day],
Q70364876,[Clinical evaluation of isosorbitol dinitrate (isosorbide dinitrate) in patients with critical stenosis of coronary arteries],
Q70464700,Tolerance development during isosorbide dinitrate treatment: can it be circumvented?,
Q54613409,Hemodynamic changes associated with angina pectoris induced by maximal treadmill exercise: effect of sublingual isosorbide dinitrate on systolic time intervals.,
Q69596918,[Evaluation of the effectiveness of new delayed-action isosorbide dinitrate preparations in patients with exertion-induced stenocardia],
Q93801254,Sublingual isosorbide dinitrate therapy versus sublingual acebo in angina pectoris,
Q52400492,Influence of isosorbide dinitrate (ISDN) on compliance of the pulmonary venous system.,
Q74144120,Clinical comparison of antiischemic efficacy of isosorbide dinitrate and molsidomine,
Q95500344,"[Comparative Assessment of Effects of Isosorbide Dinitrate, Isosorbide-5-Mononitrate and Nicorandil on the Frequency-of Angina Attacks and Vasoregulating Endothelial Function in Patients With Ischemic Heart Disease]",
Q71224041,[Hemodynamic effect of sublingual isosorbide dinitrate in acute myocardial infarct],
Q69427416,Intravenous isosorbide dinitrate infusion in the management of unstable angina pectoris refractory to conventional medical therapy,
Q87064657,A case of vasospastic angina in which the ergonovine provocation test with intracoronary isosorbide dinitrate and nicorandil was effective in the diagnosis of microvascular spasm,
Q79058142,Nitroglycerin and isosorbide dinitrate in coronary insufficiency,
Q54519226,Intravenous isosorbide dinitrate in patients with refractory pump failure and acute myocardial infarction.,
Q88164419,Isosorbide dinitrate in nephronophthisis treatment,
Q42616067,"Influence of systemically given placebo, trapidil and isosorbide dinitrate on norepinephrine-evoked hand vein constriction in healthy subjects.",
Q71808860,Early hemodynamic effects at rest with acute and chronic isosorbide dinitrate treatment in patients with ischemic heart disease,
Q28362309,Assessment of dermal glyceryl trinitrate and isosorbide dinitrate for patients with angina pectoris,
Q71735437,"Isosorbide dinitrate kinetics and dynamics after intravenous, sublingual, and percutaneous dosing in angina",
Q44916082,[The evaluation of viability in infarcted myocardium using gated blood pool scintigraphy during combined infusion of isosorbide dinitrate and dobutamine infusion],
Q93567111,Effects of isosorbide dinitrate on pancreatic exocrine secretion in the dog,
Q36807707,Improvement in exercise haemodynamics by isosorbide dinitrate in patients with severe congestive cardiac failure secondary to ischaemic heart disease.,
Q33175576,Head-up tilt testing potentiated with low-dose sublingual isosorbide dinitrate: a simplified time-saving approach for the evaluation of unexplained syncope.,
Q73864597,"Comparison among the effects of arginine, a nitric oxide precursor, isosorbide dinitrate and molsidomine, two nitric oxide donors, on hormonal secretions and blood pressure in man",
Q54583334,Hemodynamic effects of cutaneously administered isosorbide dinitrate ointment.,
Q71175082,Left ventricular aneurysm and congestive heart failure: value of exercise stress and isosorbide dinitrate in predicting hemodynamic results of aneurysmectomy,
Q69834964,A study into the mucosal absorption of isosorbide dinitrate at different intraoral sites,
Q67993688,Isosorbide dinitrate in portal hypertensive patients,
Q71405971,Reduction of myocardial ischemic injury with sublingual isosorbide dinitrate,
Q71179459,Management of acute heart failure following myocardial infarction: hemodynamic advantages of isosorbide dinitrate over frusemide,
Q67551760,[Evaluation by means of atrial pacing of the hemodynamic and clinical effects of a delayed-action isosorbide dinitrate preparation in patients with angina pectoris],
Q42264678,[Bradycardia and hypotension induced by clonidine and isosorbide dinitrate (author's transl)],
Q71430791,Measurement of plasma concentrations of isosorbide dinitrate,
Q44201080,Plasma concentrations of isosorbide dinitrate after cutaneous and sublingual doses to human subjects.,
Q67552946,Hemodynamic effects of oral and sublingual forms of isosorbide dinitrate in patients with acute coronary insufficiency,
Q71702000,"Effect of noradrenaline, sodium nitrite and isosorbide dinitrate on albumin transport in the wall of the excised rabbit common carotid artery",
Q54134513,The effect of isosorbide dinitrate on the arterial vascular bed: a dose response study in dogs.,
Q69930856,[Pulmonary extravascular water volume in heart diseases: the effect of isosorbide dinitrate on hemodynamic pulmonary edema],
Q41518537,[Double blind test about the effect of Isoket retard on the exercise tolerance respectively the hypoxia of the myocardium by ergometrical determination (author's transl)].,
Q51758069,Topical application of isosorbide dinitrate in patients with persistent constipation after pull-through surgery for Hirschsprung's disease.,
Q69364044,Beta-adrenergic-blocker LB46 and isosorbide dinitrate synergism in angina pectoris,
Q64072280,Cardioprotective Effect of Isosorbide Dinitrate Postconditioning Against Rat Myocardial Ischemia-Reperfusion Injury In Vivo,
Q70496714,[Hemodynamic study during 48 hours of delayed-release isosorbide dinitrate (repeated oral administration) in the acute phase of myocardial infarction complicated by left ventricular insufficiency],
Q68287993,Effects of isosorbide dinitrate and diltiazem on Ca2+ flux and contraction in artery,
Q70436346,[Pharmacokinetics of isosorbide dinitrate administered by intravenous infusion to hypertensive patients (author's transl)],
Q40748387,"Effect of swallowed isosorbide dinitrate on blood pressure, heart rate and exercise capacity in patients with coronary artery disease.",
Q67002228,[Clinical and hemodynamic evaluation of isosorbide dinitrate therapy in heart failure (author's transl)],
Q54541389,Nisoldipine versus isosorbide dinitrate in coronary heart disease: results of a double-masked study.,
Q71487707,[Treatment with isosorbide dinitrate of chronic myocardial infarction depending on the results of floating catheter-ergometer loading],
Q50755269,Antagonism of cyanide toxicity by isosorbide dinitrate: possible role of nitric oxide.,
Q46818837,Vasodilative effect of isosorbide dinitrate ointment in complex regional pain syndrome type 1.,
Q73941228,Response to changing plasma concentrations of isosorbide-bound NO2 during acute and sustained treatment with isosorbide dinitrate in patients with coronary artery disease,
